id,user,uid,version,changeset,timestamp
23612345,c19,11127,2,135509,2008-04-13T22:04:00Z
23612376,jabali,358508,11,37662365,2016-03-07T10:10:46Z
23612391,jabali,358508,3,37662365,2016-03-07T10:10:53Z
23612466,ayhanozates,1628470,9,19270763,2013-12-04T12:02:25Z
23612481,jabali,358508,9,37662365,2016-03-07T10:10:46Z
23612486,jabali,358508,6,37662365,2016-03-07T10:10:54Z
23612491,jabali,358508,5,37662365,2016-03-07T10:10:55Z
23612504,jabali,358508,6,37662365,2016-03-07T10:10:48Z
23612509,erkinalp,113816,4,16509189,2013-06-11T11:55:25Z
23612523,jabali,358508,6,37662365,2016-03-07T10:10:47Z
23612526,jabali,358508,3,37662365,2016-03-07T10:10:53Z
23612527,erkinalp,113816,5,28250142,2015-01-19T11:22:33Z
23612529,jabali,358508,4,37662365,2016-03-07T10:10:49Z
23612543,jabali,358508,6,37662365,2016-03-07T10:10:43Z
23612548,jabali,358508,5,37662365,2016-03-07T10:10:53Z
23612560,jabali,358508,7,37662365,2016-03-07T10:10:51Z
23615315,Erdi,142497,2,1759787,2009-07-07T07:53:52Z
23615327,BalaguruD,1233275,20,15794634,2013-04-20T09:03:30Z
23615345,Mehmet AVŞAR,82992,22,22689449,2014-06-02T09:12:47Z
23615355,erkinalp,113816,23,48306014,2017-05-01T12:20:18Z
23615358,dmgroom_ct,437598,16,17557577,2013-08-28T16:20:25Z
23615373,Erdi,142497,2,1759947,2009-07-07T08:21:55Z
23615391,VinothS,1250401,18,15751342,2013-04-16T15:11:19Z
23615392,niranjana,1233292,4,15368992,2013-03-15T03:12:29Z
23615398,VinothS,1250401,8,15751342,2013-04-16T15:11:15Z
23615401,vignesh anand,1233267,3,15368556,2013-03-15T00:50:15Z
23615410,VinothS,1250401,16,15751342,2013-04-16T15:11:15Z
23615411,VinothS,1250401,16,15751342,2013-04-16T15:11:16Z
23615417,niranjana,1233292,3,15369382,2013-03-15T05:08:07Z
23615429,VinothS,1250401,5,15751342,2013-04-16T15:11:14Z
23615432,erkinalp,113816,17,18555027,2013-10-26T17:53:32Z
23615437,BalaguruD,1233275,16,15783503,2013-04-19T10:36:32Z
23615445,katpatuka,17497,14,45364483,2017-01-22T07:43:19Z
23615494,abel801,2377377,9,30066926,2015-04-08T15:34:53Z
23615503,erkinalp,113816,21,24696065,2014-08-12T08:28:25Z
23615533,sbt01,2189968,13,24199520,2014-07-17T11:42:28Z
23615562,erkinalp,113816,5,10405983,2012-01-16T07:31:02Z
23615608,Nesim,1386706,8,40912673,2016-07-21T06:36:15Z
23615614,hari t,1253065,4,15751478,2013-04-16T15:25:47Z
23615615,c19,11127,6,853558,2009-03-24T18:17:26Z
23615618,erkinalp,113816,4,36217403,2015-12-28T12:36:42Z
23615621,hari t,1253065,13,15751478,2013-04-16T15:25:48Z
23615623,BalaguruD,1233275,3,15617049,2013-04-05T09:21:02Z
23615625,hari t,1253065,3,15751478,2013-04-16T15:25:44Z
23615626,BalaguruD,1233275,3,15617049,2013-04-05T09:21:01Z
23615637,hari t,1253065,6,15751478,2013-04-16T15:25:47Z
23615638,Tayfur Yünlü,3876603,4,39070131,2016-05-03T16:11:55Z
23615642,karitotp,2748195,6,30103593,2015-04-09T20:46:35Z
23615644,c19,11127,4,177683,2009-04-04T02:24:30Z
23615645,c19,11127,4,177683,2009-04-04T02:23:18Z
23615647,c19,11127,4,853558,2009-03-24T18:22:44Z
23615648,Tayfur Yünlü,3876603,6,38966303,2016-04-28T20:42:11Z
23615665,Tayfur Yünlü,3876603,7,44165149,2016-12-04T19:46:00Z
23615667,VinothS,1250401,5,15370334,2013-03-15T08:21:34Z
23615669,VinothS,1250401,2,15370334,2013-03-15T08:21:31Z
23615670,Mudisline,1749996,6,17922126,2013-09-19T12:48:28Z
23615692,kshuseyin,300055,22,36184798,2015-12-26T21:33:15Z
23615726,kshuseyin,300055,23,36184798,2015-12-26T21:33:14Z
23615727,katpatuka,17497,8,12684081,2012-08-10T19:46:26Z
23615728,erkinalp,113816,14,18455753,2013-10-20T17:43:41Z
23615730,samely,2512300,19,38227386,2016-04-01T14:27:56Z
23615731,Nesim,1386706,18,47613389,2017-04-10T07:51:52Z
23615744,erkinalp,113816,7,23152036,2014-06-25T14:44:35Z
23615754,kshuseyin,300055,7,36185197,2015-12-26T22:01:07Z
23615767,katpatuka,17497,3,12684081,2012-08-10T19:46:29Z
23615773,kshuseyin,300055,7,37925796,2016-03-18T19:00:58Z
23615797,kshuseyin,300055,13,37925796,2016-03-18T19:01:00Z
23615804,Isbite,1235661,9,18012966,2013-09-24T17:22:29Z
23615806,kshuseyin,300055,12,37925796,2016-03-18T19:01:00Z
23615814,Luis36995,1829683,33,44090854,2016-12-01T16:48:43Z
23615818,kshuseyin,300055,18,37925796,2016-03-18T19:00:56Z
23615829,kshuseyin,300055,14,37940769,2016-03-19T15:48:36Z
23615831,kshuseyin,300055,7,37946576,2016-03-19T22:01:39Z
23615834,kshuseyin,300055,6,37946576,2016-03-19T22:01:37Z
23615835,karitotp,2748195,9,40265657,2016-06-24T16:10:33Z
23615838,kshuseyin,300055,14,37940769,2016-03-19T15:48:37Z
23615841,erkinalp,113816,7,14826246,2013-01-28T19:11:12Z
23615844,Nearo,672542,13,24433005,2014-07-29T22:35:04Z
23615849,sheik farid,1233282,7,15359116,2013-03-14T07:06:50Z
23615850,erkinalp,113816,14,24694198,2014-08-12T06:04:23Z
23615855,kshuseyin,300055,13,37980661,2016-03-21T16:55:01Z
23615877,kshuseyin,300055,10,37946576,2016-03-19T22:01:36Z
23615878,kshuseyin,300055,7,37939697,2016-03-19T14:36:23Z
23615881,kshuseyin,300055,5,37939697,2016-03-19T14:36:21Z
23615890,VinothS,1250401,5,15752090,2013-04-16T16:20:56Z
23615911,mark1111,1712338,9,40185538,2016-06-21T16:59:40Z
23615912,kshuseyin,300055,11,46228797,2017-02-19T22:47:08Z
23615926,VinothS,1250401,2,15752090,2013-04-16T16:20:54Z
23615927,Cüneyt Oral,1878914,11,19955572,2014-01-12T16:37:29Z
23615930,OSMF Redaction Account,722137,3,12362691,2012-07-20T05:47:52Z
23615932,vignesh anand,1233267,5,15368733,2013-03-15T01:48:01Z
23615933,erkinalp,113816,6,17073216,2013-07-24T10:04:25Z
23615934,erkinalp,113816,10,17073216,2013-07-24T10:04:54Z
23615937,Cüneyt Oral,1878914,11,19951728,2014-01-12T12:48:42Z
23615939,andygol,94578,14,29951727,2015-04-03T13:17:25Z
23615941,Doruk Yörük,5025069,12,47508672,2017-04-06T14:08:51Z
23615945,erkinalp,113816,8,14608379,2013-01-11T11:28:31Z
23615951,sbt01,2189968,12,24290706,2014-07-22T11:27:27Z
23615952,aighes,110639,13,16221373,2013-05-21T09:26:52Z
23615954,ayhanozates,1628470,9,19273190,2013-12-04T14:52:50Z
23615959,kshuseyin,300055,11,36348959,2016-01-03T22:32:55Z
23615960,kshuseyin,300055,15,36348959,2016-01-03T22:32:55Z
23615965,ratrun,474183,10,44980893,2017-01-07T15:05:45Z
23615966,sbt01,2189968,13,24290665,2014-07-22T11:24:41Z
23615967,erkinalp,113816,18,49158114,2017-06-01T08:51:59Z
23615980,Arzu Erkan Yüce,2052949,11,29176709,2015-03-01T13:19:38Z
23615981,Arzu Erkan Yüce,2052949,6,29176709,2015-03-01T13:18:57Z
23615982,Arzu Erkan Yüce,2052949,6,22022900,2014-04-29T13:09:54Z
23616008,Cüneyt Oral,1878914,14,19951728,2014-01-12T12:48:42Z
23616010,Nesim,1386706,8,40912673,2016-07-21T06:36:16Z
23616012,sheik farid,1233282,11,15744732,2013-04-16T04:34:54Z
23616021,sbt01,2189968,17,24530354,2014-08-04T08:35:04Z
23616027,sbt01,2189968,11,24530354,2014-08-04T08:35:04Z
23616028,beweta,152074,6,14429679,2012-12-27T19:09:13Z
23616035,karitotp,2748195,20,30103144,2015-04-09T20:28:22Z
23616038,Isbite,1235661,15,17209970,2013-08-04T01:39:13Z
23616039,Isbite,1235661,9,17832749,2013-09-14T13:07:16Z
23616041,surendran1,1274545,6,15760950,2013-04-17T10:23:19Z
23616047,surendran1,1274545,6,15761223,2013-04-17T10:51:51Z
23616086,mark1111,1712338,17,40189603,2016-06-21T20:06:17Z
23616093,grigal,4585974,33,49156907,2017-06-01T08:07:05Z
23616116,erkinalp,113816,15,25725712,2014-09-28T13:46:49Z
23616175,Isbite,1235661,2,18247420,2013-10-08T13:29:13Z
23616183,Isbite,1235661,5,18247420,2013-10-08T13:29:13Z
23616187,Isbite,1235661,5,18247420,2013-10-08T13:29:13Z
23616190,VinothS,1250401,4,15749241,2013-04-16T12:34:10Z
23628719,VinothS,1250401,6,15444652,2013-03-21T16:03:40Z
23628724,Isbite,1235661,9,16659570,2013-06-22T17:53:13Z
23628760,VinothS,1250401,9,15444652,2013-03-21T16:03:34Z
23628767,surendran1,1274545,19,15761223,2013-04-17T10:51:51Z
23628768,surendran1,1274545,6,15761455,2013-04-17T11:16:50Z
23628773,surendran1,1274545,5,15761455,2013-04-17T11:16:50Z
23628800,surendran1,1274545,9,15762405,2013-04-17T12:47:06Z
23628820,surendran1,1274545,6,15762566,2013-04-17T13:03:55Z
23628826,VinothS,1250401,2,15418559,2013-03-19T11:29:04Z
23628835,surendran1,1274545,8,15761609,2013-04-17T11:31:56Z
23628837,surendran1,1274545,6,15760950,2013-04-17T10:23:19Z
23628873,kshuseyin,300055,7,36204205,2015-12-27T19:37:00Z
23628881,hari t,1253065,4,15751478,2013-04-16T15:25:46Z
23628885,hari t,1253065,5,15751478,2013-04-16T15:25:39Z
23628922,karitotp,2748195,5,30103144,2015-04-09T20:28:29Z
23628974,erkinalp,113816,10,20193401,2014-01-25T13:32:00Z
23628988,VinothS,1250401,5,15749241,2013-04-16T12:34:02Z
23629044,erkinalp,113816,4,20189505,2014-01-25T08:04:22Z
23629046,erkinalp,113816,3,20181139,2014-01-24T17:44:24Z
23629066,vignesh anand,1233267,6,15369330,2013-03-15T04:51:31Z
23629085,erkinalp,113816,8,18555027,2013-10-26T17:53:31Z
23629092,Nesim,1386706,5,40912673,2016-07-21T06:36:14Z
23629131,beweta,152074,8,17823982,2013-09-13T20:40:29Z
23629133,Hasan12,3905551,8,39196689,2016-05-09T17:31:50Z
23629141,Hasan12,3905551,9,39197013,2016-05-09T17:48:15Z
23629144,beweta,152074,12,17823982,2013-09-13T20:40:33Z
23629154,c19,11127,3,177683,2009-04-04T01:51:34Z
23629178,erkinalp,113816,9,18555027,2013-10-26T17:53:31Z
23629192,VinothS,1250401,7,15751342,2013-04-16T15:11:10Z
23629206,VinothS,1250401,3,15751342,2013-04-16T15:11:21Z
